product_id,title,author,year,genre,subgenre,page,avg_rating,price,description,photo,stock
12,"Crime and Punishment","Fyodor Dostoevsky",1866,Classic,Psychological,671,4.2,16.75,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,24
13,"Wuthering Heights","Emily Bronte",1847,Classic,Gothic,368,4,9.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,64
14,"Invisible Man","Ralph Ellison",1952,Fiction,African-American,581,4.3,15.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,48
15,"The Lord of the Rings","J.R.R. Tolkien",1954,Fantasy,Epic,1178,4.5,35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,37
16,"Jane Eyre","Charlotte Bronte",1847,Classic,Gothic,532,4.1,10.25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,30
17,"The Grapes of Wrath","John Steinbeck",1939,Classic,"Social Realism",464,4.2,13.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,30
18,Dune,"Frank Herbert",1965,"Science Fiction","Space Opera",412,4.4,19.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,50
19,Frankenstein,"Mary Shelley",1818,Classic,Horror,280,3.7,8.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,59
20,"The Handmaid's Tale","Margaret Atwood",1985,Fiction,Dystopian,311,4.2,15.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,45
21,"The Hobbit","J.R.R. Tolkien",1937,Fantasy,Adventure,310,4.3,14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,38
22,"Fahrenheit 451","Ray Bradbury",1953,"Science Fiction",Dystopian,249,4.1,12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,47
23,"The Shining","Stephen King",1977,Horror,Supernatural,447,4.2,17.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,24
24,It,"Stephen King",1986,Horror,Supernatural,1138,4.2,22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,56
25,"The Stand","Stephen King",1978,Horror,Post-Apocalyptic,1153,4.3,21.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,20
26,Carrie,"Stephen King",1974,Horror,Epistolary,199,4,9.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,14
27,Misery,"Stephen King",1987,Thriller,Psychological,310,4.2,16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,88
28,"Pet Sematary","Stephen King",1983,Horror,Supernatural,373,4.1,15.5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,27
29,"The Dark Tower: The Gunslinger","Stephen King",1982,Fantasy,Western,224,3.9,12.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,43
30,"Salem's Lot","Stephen King",1975,Horror,Vampires,439,4,14.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,34
31,"Doctor Sleep","Stephen King",2013,Horror,Supernatural,531,4.1,18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,32
32,"Under the Dome","Stephen King",2009,"Science Fiction",Mystery,1074,3.9,20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,50
33,"Harry Potter and the Sorcerer's Stone","J.K. Rowling",1997,Fantasy,YA,309,4.5,24.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,50
34,"The Hunger Games","Suzanne Collins",2008,"Young Adult",Dystopian,374,4.3,12.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,93
35,"The Book Thief","Markus Zusak",2005,Fiction,Historical,552,4.4,14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,33
36,"The Kite Runner","Khaled Hosseini",2003,Fiction,Contemporary,372,4.3,16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,56
37,Sapiens,"Yuval Noah Harari",2011,Non-Fiction,History,443,4.5,22,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,82
38,Educated,"Tara Westover",2018,Non-Fiction,Memoir,352,4.5,18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,55
39,"The Alchemist","Paulo Coelho",1988,Fiction,Allegory,208,3.5,12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam iaculis neque nec sem convallis sagittis. Curabitur magna dui, ullamcorper eget posuere eu, pellentesque feugiat est. Ut volutpat tellus a orci mollis lobortis. Duis eu lectus accumsan, pulvinar turpis vel, sollicitudin urna. Praesent eget porta ex. Praesent nisi erat, tincidunt sed mi ac, lacinia vulputate arcu. Curabitur a purus finibus, volutpat velit fermentum, ornare erat. Aliquam sed malesuada erat, condimentum cursus purus. Curabitur lobortis tempor mauris vel vehicula. Nullam pellentesque lorem non justo porttitor, eu tempus magna sodales. Quisque suscipit massa in justo ullamcorper porttitor.",...,18
